,date,Negative,Neutral,Positive
330,2019-06-27,0.97745496,0.0036812031,0.018863842
331,2019-06-28,0.5094264,0.16335393,0.32721964
332,2019-07-01,0.48597622,0.0038506954,0.51017314
333,2019-07-02,0.9522798,0.0040646503,0.04365553
334,2019-07-05,0.87378025,0.011215445,0.11500434
335,2019-07-06,0.98630273,0.0027256003,0.010971708
336,2019-07-08,0.04390653,0.0024952493,0.95359826
337,2019-07-10,0.4864462,0.002980373,0.51057345
338,2019-07-11,0.020515975,0.0026638515,0.9768201
339,2019-07-15,0.53464484,0.19255571,0.2727995
340,2019-07-16,0.011368489,0.0026762113,0.9859553
341,2019-07-17,0.4951418,0.046173334,0.45868486
342,2019-07-18,0.97973907,0.0036097416,0.016651101
343,2019-07-19,0.1041558,0.0034004343,0.8924438
344,2019-07-22,0.569795,0.003146304,0.4270587
345,2019-07-23,0.96460646,0.0035290858,0.03186448
346,2019-07-24,0.44135475,0.005239969,0.5534053
347,2019-07-25,0.58367413,0.0035585314,0.41276732
348,2019-07-26,0.81299186,0.007544508,0.17946365
349,2019-07-29,0.50087285,0.44317296,0.055954136
350,2019-07-30,0.98601246,0.0033086496,0.010678923
351,2019-07-31,0.49876317,0.002580131,0.49865672
352,2019-08-01,0.8069911,0.0036679842,0.18934095
353,2019-08-02,0.9261689,0.0035177688,0.07031326
354,2019-08-03,0.94206595,0.003327884,0.054606203
355,2019-08-04,0.035052642,0.010182955,0.95476437
356,2019-08-05,0.93829405,0.0035713245,0.058134567
357,2019-08-07,0.49514288,0.49386537,0.010991729
358,2019-08-08,0.90845644,0.0033697058,0.08817388
359,2019-08-10,0.97362757,0.003562023,0.0228104
360,2019-08-11,0.985692,0.003056055,0.011251903
361,2019-08-13,0.65482783,0.0045967363,0.3405754
362,2019-08-14,0.9346911,0.003308754,0.06200013
363,2019-08-15,0.5959981,0.004894766,0.3991071
364,2019-08-16,0.16395015,0.0035118326,0.832538
365,2019-08-19,0.82563925,0.0036972773,0.17066348
366,2019-08-20,0.07590311,0.0039225584,0.92017436
367,2019-08-21,0.9173684,0.0035324458,0.0790991
368,2019-08-22,0.759001,0.0048880316,0.23611099
369,2019-08-23,0.55333877,0.010871678,0.43578961
370,2019-08-26,0.56061214,0.0061946195,0.43319327
371,2019-08-27,0.51028466,0.00279567,0.4869196
372,2019-08-28,0.50045013,0.002906136,0.49664372
373,2019-08-29,0.9813591,0.0032267175,0.015414147
374,2019-08-30,0.5085961,0.0024843107,0.48891962
375,2019-09-01,0.15467414,0.003376727,0.8419491
376,2019-09-04,0.49558005,0.039855834,0.4645641
377,2019-09-05,0.4995967,0.0029430403,0.49746025
378,2019-09-07,0.9754658,0.0030733063,0.021460928
379,2019-09-08,0.9730738,0.0031185038,0.023807738
380,2019-09-09,0.538556,0.10904989,0.3523941
381,2019-09-10,0.5654064,0.34937364,0.08521998
382,2019-09-12,0.013163565,0.0028525642,0.9839839
383,2019-09-13,0.4880501,0.0053403582,0.50660956
384,2019-09-16,0.97817814,0.0030334396,0.018788463
385,2019-09-17,0.52280754,0.0030860044,0.4741064
386,2019-09-18,0.98195755,0.00418833,0.013854098
387,2019-09-19,0.17363477,0.004502155,0.82186306
388,2019-09-20,0.94310486,0.0047692233,0.052125867
389,2019-09-23,0.46975473,0.003751716,0.52649355
390,2019-09-24,0.9823036,0.0028659324,0.014830476
391,2019-09-25,0.9813223,0.002987241,0.015690528
392,2019-09-26,0.4636725,0.47248927,0.06383826
393,2019-09-27,0.5062845,0.0026870691,0.4910285
394,2019-09-30,0.98295915,0.0035065454,0.0135342125
395,2019-10-01,0.97807926,0.0029052785,0.0190155
396,2019-10-04,0.49651968,0.0039936546,0.49948663
397,2019-10-05,0.9722266,0.005183981,0.022589393
398,2019-10-06,0.9637921,0.0035515444,0.03265628
399,2019-10-07,0.9591798,0.003623634,0.037196513
400,2019-10-09,0.9599143,0.0028506606,0.03723505
401,2019-10-10,0.41276425,0.005970618,0.58126515
402,2019-10-12,0.9699304,0.0035379895,0.026531566
403,2019-10-14,0.76039135,0.0042631663,0.23534548
404,2019-10-15,0.49772725,0.003254598,0.4990182
405,2019-10-16,0.80802155,0.0047761914,0.18720227
406,2019-10-17,0.50451976,0.336211,0.15926932
407,2019-10-18,0.5373301,0.0065958444,0.4560741
408,2019-10-21,0.92577845,0.0034152393,0.07080637
409,2019-10-22,0.980167,0.003956563,0.015876465
410,2019-10-23,0.82621396,0.0038241069,0.16996194
411,2019-10-24,0.63783133,0.0036483142,0.35852036
412,2019-10-25,0.5072164,0.021095324,0.4716883
413,2019-10-28,0.983662,0.0032067522,0.013131252
414,2019-10-29,0.97927916,0.0031376928,0.01758313
415,2019-10-30,0.9461698,0.00409655,0.04973364
416,2019-10-31,0.78569365,0.0036017823,0.21070452
417,2019-11-01,0.5504116,0.0031433748,0.44644502
418,2019-11-02,0.98388505,0.003128774,0.012986168
419,2019-11-03,0.494432,0.0033775554,0.5021905
420,2019-11-04,0.9267905,0.0031018509,0.07010767
421,2019-11-06,0.49598444,0.0037259576,0.5002896
422,2019-11-07,0.03926251,0.36163896,0.59909844
423,2019-11-09,0.96419847,0.0032920805,0.032509454
424,2019-11-10,0.50291395,0.00416301,0.49292314
425,2019-11-11,0.8973663,0.0038624732,0.09877124
426,2019-11-12,0.95911705,0.0047266767,0.036156293
427,2019-11-13,0.97153497,0.0038055736,0.024659377
428,2019-11-14,0.3343356,0.008932554,0.65673184
429,2019-11-15,0.9869429,0.0029812339,0.010075897
430,2019-11-18,0.0445527,0.0027815087,0.9526658
431,2019-11-19,0.4594319,0.0040983367,0.53646976
432,2019-11-20,0.8350246,0.13247505,0.032500315
433,2019-11-21,0.9422344,0.0065635275,0.05120203
434,2019-11-22,0.981279,0.0033351895,0.015385782
435,2019-11-25,0.92433655,0.004080971,0.07158245
436,2019-11-26,0.52937794,0.009886493,0.46073556
437,2019-11-27,0.6828554,0.006821164,0.31032345
438,2019-11-28,0.50383556,0.008114329,0.48805013
439,2019-11-29,0.9823694,0.0032894816,0.014341101
440,2019-12-02,0.7647271,0.0049856035,0.2302873
441,2019-12-03,0.4991558,0.003549905,0.4972943
442,2019-12-04,0.310232,0.004485327,0.6852827
443,2019-12-06,0.48857677,0.002598571,0.50882465
444,2019-12-07,0.8581114,0.003826865,0.1380617
445,2019-12-08,0.85952467,0.0054414524,0.1350339
446,2019-12-09,0.572808,0.35586601,0.07132592
447,2019-12-11,0.5199608,0.0030072758,0.47703192
448,2019-12-12,0.014647344,0.0028060311,0.9825466
449,2019-12-13,0.93015134,0.0044262465,0.06542239
450,2019-12-16,0.88744307,0.0039004227,0.10865655
451,2019-12-17,0.22303759,0.34561533,0.43134713
452,2019-12-18,0.65829116,0.15268064,0.18902817
453,2019-12-19,0.9496701,0.002980146,0.04734982
454,2019-12-20,0.4954768,0.0037865867,0.50073653
455,2019-12-23,0.4146031,0.003915527,0.5814814
456,2019-12-24,0.46091792,0.48229817,0.056783892
457,2019-12-25,0.48722935,0.0028512774,0.5099194
458,2019-12-26,0.93815464,0.0036315531,0.058213823
459,2019-12-27,0.6152197,0.0036521065,0.38112822
460,2019-12-30,0.9827167,0.0029646708,0.014318604
461,2019-12-31,0.9449967,0.003089014,0.051914334
462,2020-01-01,0.7327638,0.003348554,0.2638876
463,2020-01-04,0.98149496,0.0028680288,0.015637014
464,2020-01-05,0.5008696,0.0027794444,0.49635094
465,2020-01-06,0.9791497,0.0035630683,0.017287258
466,2020-01-07,0.5094418,0.0029001203,0.487658
467,2020-01-09,0.95186466,0.003194924,0.044940423
468,2020-01-10,0.49767256,0.0028814855,0.49944597
469,2020-01-12,0.52115726,0.0033641593,0.47547862
470,2020-01-13,0.78118056,0.005337134,0.21348229
471,2020-01-14,0.77178407,0.0053470833,0.22286884
472,2020-01-15,0.5160131,0.0028950842,0.48109186
473,2020-01-16,0.751125,0.0039812243,0.2448938
474,2020-01-17,0.51394486,0.087755404,0.39829975
475,2020-01-20,0.8926045,0.0036802492,0.10371531
476,2020-01-21,0.44915682,0.0040434315,0.5467997
477,2020-01-22,0.98524475,0.0031893612,0.01156583
478,2020-01-23,0.94293106,0.0047739847,0.052294936
479,2020-01-24,0.979512,0.0036236881,0.016864367
480,2020-01-27,0.8021352,0.0037459224,0.19411886
481,2020-01-28,0.9789363,0.0026990413,0.018364644
482,2020-01-29,0.9784905,0.004514904,0.016994618
483,2020-01-30,0.85490525,0.008159032,0.1369357
484,2020-01-31,0.50324625,0.0026426713,0.49411106
485,2020-02-01,0.24888985,0.0036027192,0.74750745
486,2020-02-03,0.51947117,0.0030820798,0.4774468
487,2020-02-04,0.985021,0.0035022371,0.01147671
488,2020-02-06,0.47417027,0.0030419077,0.52278787
489,2020-02-07,0.13189149,0.005144269,0.8629642
490,2020-02-09,0.97581506,0.0027305102,0.02145444
491,2020-02-10,0.55805564,0.0033859015,0.4385584
492,2020-02-11,0.9792042,0.0038926948,0.016903039
493,2020-02-12,0.90724486,0.05171608,0.041038983
494,2020-02-13,0.98237556,0.003179784,0.014444677
495,2020-02-14,0.24094184,0.0045941193,0.75446403
496,2020-02-17,0.9337484,0.0048828744,0.061368752
497,2020-02-18,0.9798838,0.0031849202,0.016931254
498,2020-02-19,0.9772078,0.003059616,0.019732514
499,2020-02-20,0.43665344,0.0031666537,0.56017995
500,2020-02-21,0.965739,0.003488853,0.030772112
501,2020-02-24,0.49463964,0.0028406316,0.50251967
502,2020-02-25,0.97358716,0.00284078,0.023571989
503,2020-02-26,0.50066245,0.0027699694,0.4965676
504,2020-02-27,0.61934376,0.0037253522,0.3769309
